last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Smith, Will,669257,284,15.3,38.7,110.8,89,92.4,86.5,417,179,387,114,40.1,19,6.7,4.6
McMahon, Ryan,641857,283,8.8,36.4,113.2,91.2,95.6,86.5,461,169,418,129,45.6,34,12,7
Brennan, Will,686823,282,9.2,37.9,106.9,85.1,90.2,82.2,406,152,384,81,28.7,8,2.8,2.3
Ward, Taylor,621493,282,14.3,34,111.4,90.7,93.1,88.8,417,178,395,123,43.9,23,8.2,5.6
Paredes, Isaac,670623,280,21.8,30.7,107.3,87.3,91.4,84.4,414,183,378,81,28.9,18,6.4,4.3
Arcia, Orlando,606115,280,6.1,32.1,109.4,89.2,93.5,86.9,426,147,409,122,43.6,21,7.5,5.5
Volpe, Anthony,683011,280,14,36.8,108.7,88.9,93.5,84.2,419,172,384,121,43.2,25,8.9,5.6
Edman, Tommy,669242,279,8.2,30.1,111.2,89.4,92.7,87.8,424,150,391,111,39.8,14,5,3.8
Rizzo, Anthony,519203,277,17.8,41.2,110.6,90,92.3,87.8,424,186,377,104,37.5,19,6.9,4.5
Ozuna, Marcell,542303,277,14.5,31.4,115.3,91.7,96.4,86.6,452,177,408,134,48.4,43,15.5,10.3
Donovan, Brendan,680977,276,10.6,37.3,109.1,89.3,93.5,86.3,416,157,394,112,40.6,16,5.8,4.3
Vierling, Matt,663837,276,7.7,30.1,113,89.2,91.4,89.3,430,141,415,115,42,10,3.6,2.7
Harris II, Michael,671739,274,7,32.8,113.9,90.5,94.9,89,453,146,413,126,46,24,8.8,6.5
Hayes, Ke'Bryan,663647,272,13.3,35.3,113.1,92.7,94.6,92.1,440,175,402,134,49.3,20,7.4,5.5
Heim, Jonah,641680,272,18.4,36.4,110.3,89.3,92.5,87.2,433,187,404,103,37.9,23,8.5,6.3
McKinstry, Zach,656716,271,17.7,36.5,108.3,86.7,88.7,84.6,410,184,381,89,33,21,7.7,5.4
Henderson, Gunnar,683002,269,10.7,32.3,113.8,92.3,94.8,89.7,462,170,401,142,52.8,29,10.8,6.6
Realmuto, J.T.,592663,269,16,36.4,110.6,89.2,95.6,85,448,177,397,112,41.6,31,11.5,7.5
LeMahieu, DJ,518934,268,4,31.3,111.2,90.1,93.2,88.9,406,133,380,119,44.4,14,5.2,3.5
Kemp, Tony,643393,267,10.1,29.2,103,86.9,90.5,84.7,405,146,379,54,20.2,3,1.1,0.9
Perdomo, Geraldo,672695,266,16,36.1,104.9,85.5,88.2,83.6,413,158,385,55,20.7,3,1.1,0.8
Conforto, Michael,624424,265,11.4,32.1,109.7,89,93.4,85.9,429,163,394,106,40,20,7.5,4.9
Call, Alex,669743,265,16.3,29.8,108.5,86.4,90.4,83.9,428,162,400,77,29.1,13,4.9,3.4
Suzuki, Seiya,673548,264,11.4,34.5,114.6,91.5,93.6,91,423,165,395,127,48.1,24,9.1,5.9
Garcia, Maikel,672580,264,5.3,37.1,110,91.5,95.1,89.2,414,148,391,132,50,13,4.9,3.5
Rosario, Eddie,592696,262,15.4,37,110.4,89.2,93.4,84.8,443,176,398,96,36.6,27,10.3,7
Rengifo, Luis,650859,258,10.3,28.7,109.1,88.7,92.8,85.9,427,154,392,92,36.2,17,6.6,4.6
Seager, Corey,608369,257,12.2,41.6,113.6,94.2,97.7,89.9,437,193,407,146,56.8,50,19.5,14.2
Nootbaar, Lars,663457,257,5.6,30.7,112.2,89.1,95.6,84.6,449,146,408,98,38.1,23,8.9,5.9
Mountcastle, Ryan,663624,255,12.7,36.9,113.1,92.1,96,88.7,472,181,418,122,47.8,36,14.1,9.8
Contreras, Willson,575929,255,10.8,34.5,117.5,91.9,96.3,89.2,461,157,407,120,47.1,30,11.8,7.5
Segura, Jean,516416,255,2.9,22.4,114,88,91.4,87.5,424,112,408,99,38.8,9,3.5,2.8
Wade Jr., LaMonte,664774,255,15.6,34.1,111.5,88,92.6,83,474,170,399,104,40.8,26,10.2,6.4
